[Config Log (seed = 1509312927)]
{
  "solution_file": "solutions/general_2.txt",
  "log_file": "logs/general_2.txt",
  "runs": 30,
  "num_parents": 20,
  "num_offspring": 140,
  "solution_init": "",
  "sharing": false,
  "parent_selection": {
    "selection_weight": "Random",
    "rate_p": 0.8,
    "select_k": 3,
    "replacement": true,
    "adaptive_crossover": true,
    "rate_adjacency_crossover": 0.15
  },
  "survival_selection": {
    "selection_weight": "Truncate",
    "drop_parents": true,
    "rate_p": 1,
    "select_k": 5,
    "replacement": false
  },
  "mutations": {
    "adaptive": true,
    "creep_random": 0.1,
    "rotate_random": 0.1,
    "slide_random": 0.1
  },
  "terminations": {
    "eval_limit": 10000
  },
  "fitness": {
    "length": true,
    "width": true,
    "cut": false,
    "adjacents": false
  }
}




[Results Log]

[Run 0]
1534	242.35	312	3.9	7
1721	241.8	331	3.65	10
1910	212.35	331	4.05	8
2099	227.5	303	3.65	8
2288	220	304	4.05	7
2478	230.85	304	3.95	8
2670	227.05	304	4.3	7
2861	254.85	313	3.7	7
3050	264	310	3.7	7
3241	275.95	326	3.45	6
3432	242.15	325	3.9	8
3623	192.8	327	4.9	10
3816	256.1	338	3.95	8
4010	228.45	321	3.9	8
4203	235.3	321	3.7	9
4396	227.55	321	4.2	8
4589	259.15	321	4.05	8
4785	254.6	322	3.8	9
4979	191.3	328	4.9	9
5174	213.9	320	5	9
5371	259.95	322	3.9	8
5568	227.85	331	4.5	7
5764	257.6	326	4.2	7
5961	269.95	328	4.15	8
6159	264.4	328	3.75	8
6354	287.8	328	3.3	6
6549	293.5	331	3.35	6
6744	286.35	338	3.7	6
6938	300.45	338	3.25	6
7133	266.6	338	3.7	7
7328	284.15	320	3.8	8
7524	271.4	327	4.05	8
7722	285.45	327	3.6	8
7919	293	334	3.55	7
8112	294.55	330	3.35	6
8305	287.4	337	3.45	6
8498	288.1	333	3.35	8
8692	307.45	344	3	6
8889	303.15	344	2.95	8
9086	279.05	340	3.65	10
9283	296.9	347	2.95	5
9481	311.15	342	2.65	5
9679	288.15	348	3.25	6
9879	280.95	348	3.15	7
10079	283.8	342	3.3	10

[Run 5]
20	5.4	18	1.95	2
201	156.2	277	1.4	2
398	205.35	303	1.8	4
604	256.7	319	1.95	5
795	241.7	325	2.85	7
989	241.35	324	3.2	9
1184	229.7	324	3.25	6
1376	187.85	315	4	8
1569	204.45	321	4.15	8
1768	213.8	335	3.95	8
1965	216.9	321	3.85	7
2160	219.5	325	4.05	8
2357	217.45	325	4.8	9
2555	224.05	294	4.75	9
2747	227.85	295	4.85	11
2938	259.65	290	3.95	7
3130	263.05	291	3.85	6
3322	248.55	298	4.55	9
3514	218.15	320	5.05	9
3708	258.2	304	3.65	7
3904	251.55	310	4	8
4100	243.8	319	3.9	6
4302	285.05	326	3.5	6
4494	297.95	317	2.75	5
4687	290.8	330	3	6
4880	290.05	329	2.85	6
5072	285.4	339	2.55	5
5265	281.2	336	3.1	8
5457	288.05	332	3	6
5650	270.95	332	3.5	8
5844	256.5	344	3.35	6
6039	256.3	334	3.4	7
6234	251.95	342	3.3	6
6428	225.65	335	3.8	7
6622	225.6	321	3.95	8
6816	187.45	321	4.9	7
7011	212.15	320	4.15	8
7206	237.3	320	3.65	8
7401	231.55	320	3.85	8
7596	236	325	3.45	8
7791	235.7	324	3.45	7
7986	257.75	333	3.2	6
8180	294.6	333	2.7	8
8373	297	333	2.55	7
8568	260.75	333	3.7	8
8764	247.95	334	4.05	8
8960	235.8	334	4.2	8
9156	251	333	4.1	7
9352	249.2	319	4.2	8
9548	254.15	320	4.65	8
9744	247.4	313	4.6	7
9940	261.8	303	4.15	7
10136	279.95	311	4.15	6

[Run 6]
20	6.95	16	1.7	2
202	172	259	1.65	5
403	251.2	296	1.5	3
599	276.75	319	1.65	4
801	248.6	314	2.2	4
988	246.35	313	2.6	7
1178	187.25	318	3.3	8
1370	171.15	314	3.95	7
1561	196.15	313	4.1	7
1754	226.1	319	4.15	8
1951	255.65	315	3.75	8
2149	269.45	315	3.55	8
2348	271.45	315	3.9	8
2544	260.5	315	4.4	9
2745	264.7	318	3.8	8
2943	272.65	318	3.4	8
3142	278.7	349	3.3	8
3340	270.45	326	3.3	8
3537	265.4	327	3.7	6
3736	276.75	335	3.35	6
3934	264.35	329	3.4	7
4132	247.95	322	3.85	8
4330	221.55	329	4.15	9
4528	266.75	329	3.55	8
4725	273.05	331	3.4	7
4922	269.6	329	3.6	8
5120	283.6	333	2.9	6
5318	300.65	333	2.55	7
5512	285.05	344	2.85	7
5706	295.15	339	2.75	7
5899	279.9	339	3.05	8
6092	270.9	336	2.8	8
6285	266.45	347	3.25	7
6479	286.25	341	2.8	5
6673	289.8	341	2.85	8
6867	226.8	336	4.35	9
